ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
"2,804",24, -   ,162,33, -   , -   , -   , -   ,10,2,-13,4
"2,805",26, -   ,38,24, -   , -   , -   , -   , -   , -   ,-16,31
"2,806",26, -   ,164,-4, -   , -   , -   , -   ,4,5,951,-2
"2,807",24, -   ,69,-28, -   , -   , -   , -   ,-10, -   ,-68, -   
"2,808",25, -   ,28,15, -   , -   , -   , -   , -   , -   ,39,31
"2,809",26, -   ,27,9, -   , -   , -   , -   ,-2, -   , -   ,-6
"2,810",25, -   ,133,-16,2,1,3, -   ,22,-1,"1,618.00",-2
"2,811",22, -   ,175,-15, -   ,-1, -   ,-3,-20,1,-18,-3
"2,812",25, -   ,149,4,1, -   ,3, -   ,-5,1,-114,2
"2,813",25, -   ,166,1,1,1,3,3,40, -   ,346,-1
"2,814",25, -   ,123,-1, -   , -   , -   , -   ,57, -   ,-19,2
"2,815",25, -   ,181,36, -   , -   , -   , -   ,39,1,-710,3
"2,816",24, -   ,128,-17, -   , -   , -   , -   ,-8, -   ,"1,645.00",-8
"2,817",24, -   ,100,5, -   , -   , -   , -   , -   , -   ,1,-11
"2,818",26, -   ,178,23, -   , -   , -   , -   ,30,-1,"-3,431.00",3
"2,819",26, -   ,33,-15, -   , -   , -   , -   ,2, -   ,24,31
"2,820",25, -   ,250,-14, -   ,-1, -   ,-3,93,7,-131, -   
"2,821",25, -   ,90,-10, -   ,-1, -   ,-3,-14, -   , -   ,2
"2,822",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"2,823",25, -   ,56,29, -   , -   , -   , -   ,1, -   ,-7,25
"2,824",25, -   ,183,-15, -   , -   , -   , -   ,34, -   ,73,-1
"2,825",13,1,68,-10, -   ,-2, -   ,-3, -   , -   ,-67,18
"2,826",25, -   ,42,-1, -   , -   , -   , -   , -   , -   ,-11,31
"2,827",25, -   ,135,-47, -   , -   , -   , -   ,-27,-2,-202,3
"2,828",23, -   ,271,-2, -   ,-1, -   , -   ,39,2,-497, -   
"2,829",24, -   ,45, -   , -   , -   , -   , -   , -   , -   ,-15,30
"2,830",24, -   , -   ,-14, -   ,-1, -   ,-3, -   , -   ,7,31
"2,831",25, -   ,149,-1, -   , -   , -   , -   ,11, -   ,-701,-3
"2,832",25, -   ,160,1, -   ,-2, -   ,-3,10, -   ,192,3
"2,833",24, -   ,103,-2, -   , -   , -   , -   ,-1, -   ,23,13
"2,834",25, -   ,50,-17, -   , -   , -   , -   , -   , -   ,4,31
"2,835",15,1,6,-86, -   , -   , -   , -   ,-18, -   , -   ,-47
"2,836",25, -   ,135,25,3,1,3, -   ,41, -   ,6, -   
"2,837",25, -   ,29,29, -   , -   , -   , -   ,14, -   , -   ,31
"2,838",25, -   , -   ,-28, -   , -   , -   , -   ,-1, -   ,7,28
"2,839",25, -   ,174,47,1,1,3,3,36,2,-4,-2
"2,840",23, -   ,192,-7,6,5,3, -   ,-17,-5,-209,-2
"2,841",22, -   ,106,-22, -   , -   , -   , -   ,19,-1,"-1,212.00",3
"2,842",11, -   ,107,-3,2,2,3,3,16, -   ,-43,15
"2,843",25, -   ,97,2, -   ,-3, -   ,-2,2, -   ,-261,4
"2,844",19, -   ,64,15, -   , -   , -   , -   ,15, -   , -   ,17
"2,845",21, -   ,171,-20, -   ,-1, -   ,-3,12,-5,-13,3
"2,846",25, -   ,75, -   , -   , -   , -   , -   ,3, -   ,-74,2
"2,847",23, -   ,173,-20, -   , -   , -   , -   ,5,-3,37, -   
"2,848",24, -   ,176,77,1,1,3,3,98,2,333,-21
"2,849",24, -   ,47,36, -   , -   , -   , -   ,12, -   ,-18,31
"2,850",23, -   ,169,8, -   , -   , -   , -   ,61,3,2,2
"2,851",25, -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,31
"2,852",25, -   ,177,5,2,1,3, -   ,31,-1,392, -   
"2,853",24, -   ,120,5,2,2,2.5,2.5,40, -   ,-1,-3
"2,854",25, -   ,108,26, -   , -   , -   , -   ,2, -   ,131,31
"2,855",25, -   ,148,50,1,1,3,3,19,1,4, -   
"2,856",9, -   ,194, -   , -   ,-2, -   ,-3,3,3,-366,-1
"2,857",25, -   ,225, -   ,1,-3,3, -   ,77,-43,623,-1
"2,858",13, -   ,135,-19, -   , -   , -   , -   ,10, -   ,-171,3
"2,859",24, -   ,157,8, -   , -   , -   , -   ,10,-2,-96,-1
"2,860",24, -   ,88,-8, -   ,-2, -   ,-3,-6, -   , -   ,9
"2,861",25, -   ,145,28, -   , -   , -   , -   ,17,1,"-2,294.00",12
"2,862",23, -   ,69,-28, -   ,-1, -   ,-3,-6,38,-1,5
"2,863",24, -   ,169,-2, -   , -   , -   , -   ,3,2,1,3
"2,864",14, -   ,115,2, -   , -   , -   , -   ,5,4,24,3
"2,865",22, -   ,190,6, -   , -   , -   , -   ,10,3,"1,296.00",-1
"2,866",24, -   ,198,31,3,3,3,3,80,2,177, -   
"2,867",25, -   ,121,22, -   , -   , -   , -   ,2, -   ,70,31
"2,868",25, -   ,188,2, -   , -   , -   , -   ,4,-6,159,-1
"2,869",24,1,140,7, -   ,-1, -   ,-3,29,-2, -   , -   
"2,870",10, -   ,125,38,1,1,3,3,27,2,319,-2
"2,871",15, -   ,162,-16, -   , -   , -   , -   ,19,-14,527,1
"2,872",24, -   ,98,-26, -   ,-1, -   ,-3,23,-1,317,5
"2,873",24, -   ,119,16, -   , -   , -   , -   ,16,1,-2,-1
"2,874",24, -   ,110, -   ,1, -   ,3, -   ,88, -   ,-112,-2
"2,875",18, -   ,160,-20,1,1,2,2,21, -   ,339, -   
"2,876",25, -   ,182,7,1,1,3,3,56,1,467, -   
"2,877",25, -   ,61,24, -   , -   , -   , -   , -   , -   ,-134,31
"2,878",25, -   ,131,-1, -   ,-1, -   ,-3,9,-1,"3,617.00", -   
"2,879",24, -   ,157,-1,3,1,3, -   ,-1,-1,-941,5
"2,880",24, -   ,200, -   , -   , -   , -   , -   ,39, -   ,"1,044.00", -   
"2,881",16, -   ,75, -   , -   , -   , -   , -   ,-5, -   ,-30,3
"2,882",25, -   ,85,10, -   , -   , -   , -   ,-23, -   ,131, -   
"2,883",8, -   ,193,5,1,-3,3, -   ,37,2,14, -   
"2,884",25, -   ,143,-16, -   , -   , -   , -   ,12, -   ,11,6
"2,885",24, -   ,97,6, -   , -   , -   , -   ,3, -   ,57,2
"2,886",24, -   ,166,50,5,3,3, -   ,26,2,-30,4
"2,887",25, -   ,56,-17, -   , -   , -   , -   ,10, -   ,-163,-5
"2,888",23, -   ,148,49,4,4,3,3,91, -   ,-74,-1
"2,889",25, -   ,179,31, -   , -   , -   , -   ,31,5,-651,-23
"2,890",25, -   ,146,-9, -   , -   , -   , -   ,-17, -   ,"-1,250.00",5
"2,891",23, -   ,51,3, -   , -   , -   , -   ,-6, -   ,-10,14
"2,892",24, -   ,8,-22, -   , -   , -   , -   ,-18, -   , -   ,-11
"2,893",25, -   ,177,-1,1,1,3,3,-1,-1,213, -   
"2,894",16, -   ,57,57, -   , -   , -   , -   ,12, -   , -   ,31
"2,895",24, -   ,157,-3, -   , -   , -   , -   ,5, -   ,-209,-1
"2,896",25, -   ,183,5, -   , -   , -   , -   ,85,4,-315, -   
"2,897",23, -   ,66,15, -   , -   , -   , -   ,1, -   ,-36,23
"2,898",24, -   ,130,33,2,2,3,3,35,2,39, -   
"2,899",25, -   ,197,71, -   , -   , -   , -   ,23,3,66,25
"2,900",24, -   ,125,46,1, -   ,3, -   ,23,1,17, -   
"2,901",25, -   ,60, -   , -   , -   , -   , -   , -   , -   ,-38,31
"2,902",24,1,30,1, -   , -   , -   , -   , -   , -   ,13,31
"2,903",25, -   ,72,-93, -   ,-2, -   ,-3,-16,-2,-35,5
"2,904",23, -   ,106,-2, -   , -   , -   , -   ,4, -   ,18, -   
"2,905",25, -   ,123,34, -   , -   , -   , -   ,20,1,39,14
"2,906",23, -   ,95,-75,1,-1,3, -   ,12,-1,-14,-1
"2,907",21, -   ,78,-37, -   , -   , -   , -   ,-14,-1,-31,8
"2,908",24, -   ,85,-65, -   ,-1, -   ,-3,10,-2,-56, -   
"2,909",11, -   ,133,35, -   , -   , -   , -   ,17,1,-29,-5
"2,910",21, -   ,173,-3, -   , -   , -   , -   ,7,3,-21,13
"2,911",25, -   ,151, -   , -   ,-1, -   ,-3, -   , -   ,230,-1
"2,912",14, -   ,166,28,1,1,3,3,12,4,3, -   
"2,913",24, -   ,58,-43, -   , -   , -   , -   ,-1, -   ,"-5,797.00",-11
"2,914",25, -   ,137,8,1,1,3,3,27, -   ,"3,445.00", -   
"2,915",24, -   ,87,43, -   , -   , -   , -   ,14,1,-4,-24
"2,916",25, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-4,31
"2,917",24, -   ,130,-1, -   , -   , -   , -   ,-6, -   ,311, -   
"2,918",21, -   ,34,-35, -   , -   , -   , -   ,-1, -   ,22,10
"2,919",23, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-14,31
"2,920",22, -   ,115,7, -   ,-1, -   ,-3,-6,-2,34, -   
"2,921",14, -   ,113,19, -   , -   , -   , -   ,3,1,10,3
"2,922",24,1,13,-52, -   , -   , -   , -   ,-1, -   ,20,22
"2,923",24, -   ,118,-12, -   , -   , -   , -   ,-3, -   ,-406,4
"2,924",25, -   , -   ,-19, -   , -   , -   , -   , -   , -   ,15,31
"2,925",24, -   ,120,-16, -   ,-1, -   ,-3,21, -   ,4,-2
"2,926",22, -   , -   ,-1, -   , -   , -   , -   , -   , -   ,-70,31
"2,927",23, -   ,220,11,1,1,3,3,54,2,-357, -   
"2,928",19,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"2,929",24, -   , -   ,-24, -   , -   , -   , -   ,-12, -   ,48,4
"2,930",24, -   ,94,25, -   , -   , -   , -   ,-10, -   ,237,-27
"2,931",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"2,932",24, -   ,107,-58, -   , -   , -   , -   ,-8,-2,-31,-1
"2,933",24, -   ,119,-2, -   , -   , -   , -   ,-2, -   ,-90,-14
"2,934",24, -   ,93,-20, -   , -   , -   , -   ,-1, -   ,"-3,235.00", -   
"2,935",12, -   ,25,-10,3,2,3, -   ,-2, -   , -   , -   
"2,936",24, -   ,153,62,1,1,3,3,44,1,110,17
"2,937",24, -   ,84,16,1,1,3,3,8, -   ,-16,-4
"2,938",24, -   ,107,-65, -   ,-1, -   ,-3,-41,-3,140, -   
"2,939",23, -   ,90,-4, -   , -   , -   , -   ,4, -   ,23,31
"2,940",24, -   ,139,-1, -   , -   , -   , -   ,10, -   , -   ,4
"2,941",24,1,81,-16, -   , -   , -   , -   ,9, -   ,297,-13
"2,942",23, -   ,43,11, -   , -   , -   , -   ,-2, -   ,13,-45
"2,943",23, -   ,193,5, -   , -   , -   , -   ,31,4,147,-1
"2,944",24, -   ,49,10, -   , -   , -   , -   ,1, -   , -   ,-127
"2,945",24, -   ,123,10,1,1,2,2,-1, -   ,225,3
"2,946",23, -   ,143,35,2,1,3, -   ,29,2,-209,1
"2,947",24, -   ,77,-47, -   , -   , -   , -   ,-6,-1,-51,-93
"2,948",23, -   ,96,83,1,1,3,3,44,4,10,31
"2,949",24, -   ,63,-14, -   , -   , -   , -   ,-4,-2,-1,8
"2,950",24, -   ,116,-19,1,1,3,3,6, -   ,191, -   
"2,951",24,1,20,-39, -   , -   , -   , -   , -   , -   ,-42,31
"2,952",24, -   ,113,-1, -   , -   , -   , -   ,-3, -   ,-511,-10
"2,953",23, -   ,109,-10, -   , -   , -   , -   ,11, -   ,-347,9
"2,954",24, -   ,225, -   ,1,1,3,3,98,-1,111, -   
"2,955",24, -   ,196,-12, -   , -   , -   , -   ,-22,-1,"1,404.00", -   
"2,956",11, -   ,105,-25, -   ,-1, -   ,-3,-7, -   ,52, -   
"2,957",24, -   ,244,30,1,1,3,3,74,3,-52, -   
"2,958",23, -   ,70,21, -   , -   , -   , -   ,6, -   ,18,31
"2,959",24, -   ,1, -   , -   , -   , -   , -   , -   , -   ,-88,31
"2,960",17, -   ,109,-9, -   , -   , -   , -   , -   ,-3,-76, -   
"2,961",23, -   ,91,1,1,1,3,3,14, -   ,-40,2
"2,962",23, -   ,57,4, -   , -   , -   , -   ,-18, -   ,12,-20
"2,963",23, -   ,48,-35, -   , -   , -   , -   ,-8, -   ,-400,9
"2,964",22, -   ,88, -   , -   , -   , -   , -   ,5, -   ,-10,4
"2,965",23, -   ,173,-8, -   , -   , -   , -   ,3,-1,"1,077.00",-1
"2,966",24, -   ,110,68, -   , -   , -   , -   ,62, -   ,-20,31
"2,967",24, -   ,65, -   , -   , -   , -   , -   ,2, -   , -   ,-16
"2,968",24, -   ,174,2, -   ,-1, -   ,-3,49,2,25, -   
"2,969",24, -   ,88,9, -   , -   , -   , -   ,45, -   ,-14, -   
"2,970",23, -   ,109,3,1, -   ,3, -   ,2,-1,109,2
"2,971",14, -   ,196, -   , -   ,-2, -   ,-3,6, -   ,-494, -   
"2,972",23, -   ,115,-15, -   ,-1, -   ,-3, -   ,-1,-13,14
"2,973",12, -   ,84,8, -   , -   , -   , -   ,12, -   ,-765,4
"2,974",23, -   ,179,20,3,3,3,3,69, -   ,184,-1
"2,975",24, -   ,66,10, -   , -   , -   , -   ,11, -   ,19,-32
"2,976",24, -   ,105,29, -   , -   , -   , -   ,50, -   ,34, -   
"2,977",23, -   ,24, -   , -   , -   , -   , -   , -   , -   ,-105,31
"2,978",24, -   ,117,7,1, -   ,3, -   ,9, -   ,16,3
"2,979",23, -   ,201,36,1,1,4,4,39,3,176, -   
"2,980",24,1,131,-4, -   ,-1, -   ,-3,1,-1,178,-1
"2,981",21, -   ,154,-4, -   ,-1, -   ,-3,52, -   ,-18, -   
"2,982",14, -   ,87,-12, -   , -   , -   , -   ,-6, -   ,602,-20
"2,983",24, -   ,208,-4, -   ,-1, -   ,-3,-15,-1,"1,096.00",-8
"2,984",21, -   ,104,-29,2,-1,3, -   ,-9,-2,18,1
"2,985",11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"2,986",23, -   ,74,22, -   , -   , -   , -   ,8, -   ,-12,31
"2,987",24, -   ,25, -   , -   , -   , -   , -   , -   , -   ,-12,31
"2,988",23, -   ,155,41, -   ,-2, -   ,-3,33,2,17, -   
"2,989",23, -   ,197,9,2,-1,3, -   ,-14,2,260, -   
"2,990",23, -   ,154,9, -   , -   , -   , -   ,37,3,-220,-18
"2,991",23, -   ,178,17, -   , -   , -   , -   ,4,2,81,-1
"2,992",24, -   ,23,-34, -   , -   , -   , -   ,-6, -   ,-8,-57
"2,993",23, -   ,169,37,1,-1,3, -   ,-3,-1, -   ,4
"2,994",24, -   ,55, -   , -   , -   , -   , -   ,4, -   ,3,30
"2,995",24, -   ,59,-9, -   , -   , -   , -   ,2, -   ,-177,31
"2,996",24, -   ,115,-3, -   , -   , -   , -   ,5,2,11,-4
"2,997",19, -   ,206,1,6,2,2.8,-0.2,-5,-4,349, -   
"2,998",24, -   ,121,-31, -   ,-1, -   ,-3,-8,-1,470,3
"2,999",24, -   ,90,-5, -   , -   , -   , -   ,2, -   ,-1,23
"3,000",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"3,001",23, -   ,194,39, -   , -   , -   , -   ,63,2,-331, -   
"3,002",24, -   ,85,9, -   , -   , -   , -   ,-1, -   ,136,6
"3,003",24, -   ,38, -   , -   , -   , -   , -   ,-1, -   ,-36,-10
"3,004",23, -   ,88,-19, -   , -   , -   , -   ,-9, -   ,72, -   
"3,005",24,1,112,16,1,1,3,3,11, -   ,143, -   
"3,006",20, -   ,53,34, -   , -   , -   , -   ,12, -   ,-51,31
"3,007",24, -   ,94,-38, -   , -   , -   , -   ,-10, -   ,388,-11
"3,008",24, -   ,109,-13, -   , -   , -   , -   ,-2,-2,-155,2
"3,009",22, -   ,131, -   , -   ,-1, -   ,-3,-13, -   ,908, -   
"3,010",24, -   ,197,-2,7,3,3.1,0.1,36, -   ,205,-1
"3,011",24, -   ,71,-61, -   , -   , -   , -   ,-14,-2,-926, -   
"3,012",24, -   ,55,-2, -   , -   , -   , -   , -   , -   ,21,31
"3,013",23, -   ,73,-36, -   , -   , -   , -   ,8,-1,-205,1
"3,014",24,1,71,1,1,1,3,3,10,1, -   ,-7
"3,015",24, -   ,148,15, -   , -   , -   , -   ,11, -   ,-40,2
"3,016",8, -   ,133,3, -   ,-2, -   ,-3,68,3,57,1
"3,017",21, -   ,124,9, -   , -   , -   , -   ,10, -   ,-85, -   
"3,018",24, -   ,189,34, -   , -   , -   , -   ,26,2,"2,050.00",-9
"3,019",22, -   ,96, -   , -   , -   , -   , -   ,10, -   ,141,-17
"3,020",23, -   ,173,5,5,1,3, -   ,96, -   ,-589, -   
"3,021",11, -   ,169, -   , -   , -   , -   , -   ,8,1,-148,-11
"3,022",24, -   ,220,26, -   , -   , -   , -   ,100,10,82,-1
"3,023",22, -   ,178,-9,2,2,3,3,36,2,-886,1
"3,024",19, -   ,103,14, -   , -   , -   , -   ,4, -   ,57,-4
"3,025",24, -   ,58,39, -   , -   , -   , -   , -   , -   ,-91,31
"3,026",24, -   ,113,-25,4,4,3,3,62,-1,-79,4
"3,027",23, -   ,56,15, -   , -   , -   , -   ,-2, -   ,8,-121
"3,028",18, -   ,169, -   , -   , -   , -   , -   ,6, -   ,7,-1
"3,029",24, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-4,31
"3,030",24, -   ,142,-36, -   , -   , -   , -   ,19,-1,-83,13
"3,031",24, -   ,132,-38, -   , -   , -   , -   ,-33,-3,-71,3
"3,032",23, -   ,145,-26, -   ,-1, -   ,-3,44, -   ,-79,-1
"3,033",23, -   ,215,-6, -   ,-1, -   ,-3,-52,-5,-61,1
"3,034",10, -   ,246,33, -   ,-1, -   , -   , -   ,-1,24, -   
"3,035",22, -   ,136,1,2,2,3,3,35, -   ,22, -   
"3,036",6, -   ,179,10,5,-14,3, -   ,-29, -   ,614, -   
"3,037",24, -   ,136,-14, -   , -   , -   , -   ,20,-2,-211,2
"3,038",22, -   ,82,-3, -   , -   , -   , -   ,-2, -   ,-309,-78
"3,039",23, -   ,136,36, -   , -   , -   , -   ,7,1,2, -   
"3,040",22, -   ,71,35,1,1,3,3,4, -   ,-2,31
"3,041",23, -   ,96,-11, -   , -   , -   , -   ,-5, -   ,-131,-4
"3,042",24, -   ,22,-25, -   , -   , -   , -   , -   , -   ,1,31
"3,043",23, -   ,31,10, -   , -   , -   , -   , -   , -   ,-207,31
"3,044",23, -   ,42,-15, -   , -   , -   , -   ,4, -   ,4,31
"3,045",23, -   ,60,50, -   , -   , -   , -   ,16, -   ,-25,31
"3,046",22, -   ,133,-6,2,-1,3, -   ,-51, -   ,5, -   
"3,047",23, -   ,112,-1, -   , -   , -   , -   ,-4, -   ,449,-30
"3,048",22, -   ,260,17,5,-4,2.8,-0.1,113,-1,"-4,991.00", -   
"3,049",23, -   ,211,14, -   ,-1, -   ,-3,80,1,-133, -   
"3,050",22,1,34,26, -   , -   , -   , -   ,4, -   ,2,31
"3,051",5, -   ,25,-35, -   , -   , -   , -   ,-6, -   ,7,14
"3,052",21, -   ,246,-1, -   ,-1, -   ,-3,22, -   ,"1,042.00",-1
"3,053",23, -   ,86,-48, -   , -   , -   , -   ,-14,-2,-191, -   
"3,054",23, -   ,116,-10, -   , -   , -   , -   ,-6, -   ,71, -   
"3,055",23, -   ,159,27, -   , -   , -   , -   ,-34,3,-13,-1
"3,056",22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
"3,057",6, -   ,79,-33,1,-3,3,0.3,-29, -   ,41,1
"3,058",22, -   ,115,1,1,-5,3, -   ,-29,1,-4, -   
"3,059",23, -   ,146,-24,1, -   ,3, -   ,-13, -   ,444, -   
"3,060",23, -   ,65, -   , -   , -   , -   , -   ,38, -   ,124, -   
"3,061",22, -   ,160, -   ,1,-2,3, -   ,-35, -   ,"1,007.00",-1
"3,062",20, -   ,172,-11, -   ,-2, -   ,-3,9,-1,-109, -   
"3,063",20, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-3,31
"3,064",18,1,63,-1, -   , -   , -   , -   ,6, -   ,"-1,056.00",-45
"3,065",23, -   ,165,-15, -   , -   , -   , -   ,28,-2,-270,5
"3,066",23, -   ,73,34, -   , -   , -   , -   ,10, -   ,-201,31
"3,067",19, -   ,101,1, -   ,-2, -   ,-3,5, -   ,5,-2
"3,068",23, -   ,113, -   , -   ,-3, -   ,-3,32, -   , -   , -   
"3,069",19,1,104, -   , -   , -   , -   , -   ,-1, -   ,-9,2
"3,070",23, -   ,28,-2, -   , -   , -   , -   ,4, -   , -   ,1
"3,071",23, -   ,190,-15,6,5,3, -   ,90,118,"1,345.00", -   
"3,072",23, -   ,200,3, -   , -   , -   , -   ,16,3,-921, -   
"3,073",23, -   ,16,16, -   , -   , -   , -   ,2, -   ,-18,31
"3,074",23, -   ,72,-52, -   , -   , -   , -   ,-46, -   ,"-3,045.00", -   
"3,075",22, -   ,175,-13,1, -   ,3, -   ,-38,4,493,-1
"3,076",22, -   ,5,-15, -   , -   , -   , -   , -   , -   ,-7,31
"3,077",22, -   ,183,1,7,5,3, -   ,32,5,119,1
"3,078",21, -   ,119,-16, -   , -   , -   , -   ,-5,-3,-91,-4
"3,079",23, -   ,123,14, -   , -   , -   , -   ,5, -   ,15, -   
"3,080",3, -   ,53,53, -   , -   , -   , -   ,26,4, -   , -   
"3,081",23, -   ,148,37, -   , -   , -   , -   ,84,7,142,10
"3,082",21, -   ,81,19, -   , -   , -   , -   ,6, -   ,-10,31
"3,083",23, -   ,105,-11, -   ,-1, -   ,-3,-18,-1,459,3
"3,084",23, -   ,130,15, -   , -   , -   , -   ,26,1,-27, -   
"3,085",20, -   ,175,-7, -   , -   , -   , -   ,-10,4,54, -   
"3,086",21, -   ,25,9, -   , -   , -   , -   , -   , -   ,-25,31
"3,087",3, -   ,125,125,3,3,2.7,2.7,172, -   , -   , -   
"3,088",23, -   ,5,-24, -   ,-2, -   , -   ,-17, -   , -   ,-114
"3,089",23, -   ,179,-26, -   , -   , -   , -   ,-16,-2,282, -   
"3,090",22, -   ,193,-1,1,1,3,3,18,-5,322,-1
"3,091",23, -   ,67,-25, -   , -   , -   , -   ,4, -   ,20,-11
"3,092",23,1,15,-3, -   , -   , -   , -   , -   , -   , -   ,31
"3,093",20, -   ,202,2, -   , -   , -   , -   ,20,2,-419,3
"3,094",23, -   ,113,10,2,2,3,3,16, -   ,-57,31
"3,095",23, -   ,132,-2, -   ,-1, -   ,-3,19,5,-11, -   
"3,096",22, -   ,171,22, -   , -   , -   , -   ,-5,-3,285, -   
"3,097",23, -   ,104,-7,1,1,3,3,-3, -   ,27,-1
"3,098",3, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   
"3,099",22, -   ,140,3, -   , -   , -   , -   ,111,5,-6,2
"3,100",19, -   ,188,11, -   ,-3, -   ,-3,69,2,-194, -   
"3,101",23, -   ,66, -   , -   , -   , -   , -   ,3, -   ,-101,13
"3,102",23, -   ,166,-9, -   , -   , -   , -   ,29, -   ,650, -   
"3,103",23, -   ,66,-42, -   , -   , -   , -   ,-12, -   ,-134,1
"3,104",23, -   ,117,-44, -   ,-1, -   ,-3,-8,2,-44, -   
"3,105",23, -   ,93,19, -   , -   , -   , -   ,8, -   ,18,5
"3,106",23, -   ,97,-52, -   , -   , -   , -   , -   ,-1,231, -   
"3,107",23, -   ,62,3, -   , -   , -   , -   , -   , -   ,20,31
"3,108",23, -   ,44,-1, -   , -   , -   , -   , -   , -   ,-128,31
"3,109",23, -   ,144, -   , -   , -   , -   , -   ,9, -   ,-170,1
"3,110",22, -   ,37, -   ,1,1,3,3,6, -   ,12,-9
"3,111",23, -   ,134,-10, -   ,-2, -   ,-3,1, -   ,-94,-2
"3,112",23, -   ,97,1, -   , -   , -   , -   ,5, -   ,50,15
"3,113",22, -   ,161,26,1,1,3,3,42,7,-96,-2
"3,114",22, -   ,133,5, -   ,-4, -   ,-3,27, -   ,467,-4
"3,115",23, -   ,200, -   ,1,-2,2,-1,20,-1,-15, -   
"3,116",22, -   ,95,35,1,1,2,2,14, -   ,91,31
"3,117",21,1,38,35, -   , -   , -   , -   ,14, -   , -   ,31
"3,118",22, -   ,164,8, -   , -   , -   , -   ,8, -   ,-290,-1
"3,119",23, -   ,180,11, -   , -   , -   , -   ,22,-8,-235, -   
"3,120",23, -   ,115,16, -   , -   , -   , -   ,7, -   ,12,-3
"3,121",23, -   ,45,1, -   , -   , -   , -   , -   , -   ,16,31
"3,122",22, -   ,100,14, -   , -   , -   , -   ,20, -   ,-202,-6
"3,123",22, -   ,121,-38, -   , -   , -   , -   ,10,-1,-79,-1
"3,124",23, -   ,19,-71, -   , -   , -   , -   ,-4,-1,-12,3
"3,125",23, -   ,166,18, -   , -   , -   , -   ,19, -   ,-18, -   
"3,126",12, -   ,166,-16,3,1,2.7,0.2,32,-1,"-1,232.00", -   
"3,127",7, -   ,185,15,2,-4,2.5,-0.3,111,-1,241,-2
"3,128",12, -   ,75,-8, -   , -   , -   , -   ,-9, -   ,-470,-4
"3,129",12, -   ,142,-28, -   , -   , -   , -   ,5,-2,313, -   
"3,130",12, -   ,42,42,1,1,3,3,29, -   ,-23,-36
"3,131",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"3,132",11, -   ,150,-11, -   , -   , -   , -   ,-5,-1,-227,-9
"3,133",10, -   ,60,-20, -   , -   , -   , -   ,-3, -   ,81,-42
"3,134",12,1,156,5, -   , -   , -   , -   ,-1, -   ,67,-1
"3,135",12,1,93,-37, -   ,-2, -   ,-3,-27,-5,"3,388.00",-5
"3,136",9, -   ,122,-12, -   , -   , -   , -   ,-3, -   ,513, -   
"3,137",12, -   ,157,-4, -   , -   , -   , -   ,16,-3,15, -   
"3,138",9, -   ,27,-1, -   , -   , -   , -   , -   , -   ,-34,30
"3,139",11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"3,140",12, -   ,192,-13,2,-5,3, -   ,22,-2,33, -   
"3,141",11, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,-3
"3,142",12, -   ,102,15, -   ,-1, -   ,-3,28, -   ,-419, -   
"3,143",5, -   , -   , -   , -   , -   , -   , -   ,-6, -   , -   ,1
"3,144",12,1,34,33,1,1,3,3,2, -   , -   ,31
"3,145",12, -   ,133,25,1,-1,3, -   ,-5,1,-88, -   
"3,146",12, -   ,135,13,1, -   ,3, -   ,-42,-3,52,1
"3,147",12, -   ,152,8,1, -   ,3, -   ,87,3,-89, -   
"3,148",10, -   ,155,14,2,-3,3.5,0.7,9, -   ,5, -   
"3,149",12, -   ,116,-5, -   ,-1, -   ,-3, -   , -   ,226,3
"3,150",12, -   ,161, -   , -   , -   , -   , -   ,11, -   ,-253,3
"3,151",10, -   ,160,36, -   ,-2, -   ,-3,14,2,-238,2
"3,152",12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"3,153",12, -   ,69, -   , -   , -   , -   , -   ,-1, -   ,11,-12
"3,154",12, -   ,184,30,2,2,3,3,122,-3,-60, -   
"3,155",12, -   ,75,1, -   , -   , -   , -   ,7,1, -   ,1
"3,156",12, -   ,112,49, -   , -   , -   , -   ,13,2,-598,6
"3,157",11, -   ,96,-15, -   , -   , -   , -   ,15,1,13,2
"3,158",12, -   ,53,41, -   , -   , -   , -   ,7,1,-6,24
"3,159",11, -   ,187,-20,2,2,3,3,11,-1,22,-1
